		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101010000   13   20   12   14   14   10   12   20 11.355943 0.182335 SUCCESS  84
101010100    8   14    7   15   13   16   13   13  6.113063 0.634569 SUCCESS  85
101011000   12   13   17    8   11   11   13    8  5.290884 0.726082 SUCCESS  86
101011100    9   14   11   11    9   16   16   14  4.979091 0.759809 SUCCESS  87
101100000   12   13   14   12    7   10   12   11  3.152689 0.924413 SUCCESS  88
101100100   10   13   11    6   14   20   12   11  9.397807 0.309856 SUCCESS  89
101101000   14   15    9   14   11   12   12   12  2.215326 0.973689 SUCCESS  90
101101100    6   10   14   13    9   12   17   13  6.868382 0.550898 SUCCESS  91
101110000   10   15   10   17   10   12   12   12  3.857698 0.869729 SUCCESS  92
101110100   17   15   18   10   11   10   12   13  6.479138 0.593723 SUCCESS  93
101111000   19   10   10   14    6    7   24   10 22.773108 0.003668 FAILURE  94
101111100   11   13    9   16   15   17   12   13  4.953936 0.762488 SUCCESS  95
110000000   11   20   11    8   11   12   14    9  8.159242 0.418072 SUCCESS  96
110000010   12    8   15   19    9    6   12   13 10.257718 0.247401 SUCCESS  97
110000100   12   13   10   19   19   13   14    8 10.142534 0.255164 SUCCESS  98
110001000   10   12    8   14   16   16    5   17 10.975304 0.203102 SUCCESS  99
110001010   12   14   15    5   10   14   17   18 10.832979 0.211344 SUCCESS 100
110010000   10   14   11   10   21   12   14   12  8.069213 0.426739 SUCCESS 101
110010010   12   12   12    7   13    8   13   12  3.895430 0.866433 SUCCESS 102
110010100    7   14   15   13   10    8   15    8  7.337063 0.500741 SUCCESS 103
110011000    9    9   14   14   10   11   13   10  3.269860 0.916299 SUCCESS 104
110011010   17   10    5   16   13    8   11   13  9.697021 0.286938 SUCCESS 105
110100000   12   14    8    8    8    8   11    8  7.843478 0.448907 SUCCESS 106
110100010   10   22   13   15   19   11   11   11 13.571589 0.093638 SUCCESS 107
110100100   12    8   10    7   12    9   14   16  6.554603 0.585358 SUCCESS 108
110101000   13   15   10   15   11    8   13   14  3.740527 0.879742 SUCCESS 109
110101010    9   11   10   18   13   12    9   15  5.839003 0.665260 SUCCESS 110
110101100   13   13   13   12   10   13    7   10  3.322156 0.912546 SUCCESS 111
110110000    6   14   15   14   11    9   12    9  6.320262 0.611406 SUCCESS 112
110110010   14   16   11    6   12   10   13   10  5.746988 0.675549 SUCCESS 113
110110100   11   13   13   17   11   17   14   11  4.667299 0.792471 SUCCESS 114
110111000    7   15   13   13   15   11   10   12  4.261505 0.832792 SUCCESS 115
110111010   13    9   14    9   16   14   10   16  5.200855 0.735909 SUCCESS 116
110111100   21   13    9   12   11   11   15    9  9.268059 0.320190 SUCCESS 117
111000000   18   14   16    9   12   12   11    6  8.602769 0.376905 SUCCESS 118
111000010   17    9    9   16    8   18   11   10  9.789037 0.280146 SUCCESS 119
111000100    5   10   10   17   18   15    6   13 13.985989 0.082131 SUCCESS 120
111000110   11   10    6   15   13   14   17    7  9.019154 0.340683 SUCCESS 121
111001000   12   10   17    7   17   16   16   11  9.190607 0.326473 SUCCESS 122
111001010    8   13   16   12    5   11   11   10  7.805745 0.452672 SUCCESS 123
111001100   12   11   18   15    8   11   17   14  7.495939 0.484187 SUCCESS 124
111010000   11   15   11   13   12   10    7    9  4.521001 0.807328 SUCCESS 125
111010010   19   18   17   10   10   13   15   19 14.211724 0.076411 SUCCESS 126
111010100    9   18    9   14    9    8   13    9  8.132101 0.420674 SUCCESS 127
111010110   18    9   14   11   12   15    8   11  6.399700 0.602553 SUCCESS 128
111011000   16   12   15   13    8   16    8   13  6.217656 0.622866 SUCCESS 129
111011010   13   12   11   16   14   13   13    9  2.658852 0.953912 SUCCESS 130
111011100    9   16   12   15   12    9    8   15  5.786707 0.671110 SUCCESS 131
111100000   14    9   14   19   13   12   11   10  5.931018 0.654959 SUCCESS 132
111100010   11    6   11   11   15   16   14   17  7.742857 0.458983 SUCCESS 133
111100100   10    9   15    6   13   10   16   11  6.998130 0.536834 SUCCESS 134
111100110   17   13   12   14   14   11   16   14  4.198617 0.838774 SUCCESS 135
111101000   13   20   12   12   19   15    9   13 10.742949 0.216694 SUCCESS 136
111101010    6   21   10   11   10   10   14   15 12.109276 0.146394 SUCCESS 137
111101100   15   10   10   10    6   14    7   17  9.657303 0.289907 SUCCESS 138
111101110    9   11   14   12   18   12    6   15  8.042072 0.429371 SUCCESS 139
111110000    9    9   16   20   17   15   15   12 11.420817 0.178976 SUCCESS 140
111110010    9    9   16    7    9   15   13   12  6.828663 0.555227 SUCCESS 141
111110100   10   17   14    6   18   17   12   15 11.381098 0.181026 SUCCESS 142
111110110   11   14   14   12    7   16    8   15  6.347404 0.608379 SUCCESS 143
111111000   10    9   16   11   13   15   17   10  5.709255 0.679762 SUCCESS 144
111111010   11   12   15    9   13   15   11   12  2.501963 0.961639 SUCCESS 145
111111100   11   12   14   14    9   12   16   13  2.828319 0.944665 SUCCESS 146
111111110   14   13   16   15    7   10   18   11  7.899746 0.443324 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   15   11   13    6    9   12   12   13  5.016824 0.755776 SUCCESS   0
000000011   17   12   16   11    6   12   10   14  7.247034 0.510229 SUCCESS   1
000000101   12   11   11    5    9   14   22   15 14.586404 0.067704 SUCCESS   2
000000111   14   15   15   17   11   11   10   14  4.497832 0.809650 SUCCESS   3
000001001    5   17   13    8   12   16   17   12 11.079897 0.197213 SUCCESS   4
000001011   16   12    8    7   11   12   13   13  5.238587 0.731798 SUCCESS   5
000001101    7   15   13    9    9   14   17   12  6.972975 0.539551 SUCCESS   6
000001111   16   17   19   18    8   13    9   12 12.385321 0.134822 SUCCESS   7
000010001   14   14   12   14   14   14   17   13  3.403579 0.906543 SUCCESS   8
000010011    7   13   13   10   14   15   10   13  4.209209 0.837772 SUCCESS   9
000010101   13   15   10   14   12   10   14   10  2.501963 0.961639 SUCCESS  10
000010111   14   12    7   15   16    6   11   10  8.236694 0.410697 SUCCESS  11
000011001   11   19   11   15    8   14    6    7 12.134431 0.145306 SUCCESS  12
000011011   12   11   12   14    9   17   13   11  3.401594 0.906691 SUCCESS  13
000011101   13   13   10    9    8    9    6   16  8.209553 0.413273 SUCCESS  14
000011111   11   11   12   12   10    7   11   12  3.060674 0.930492 SUCCESS  15
000100011   12   14   13   12   13   11   11   12  0.637828 0.999666 SUCCESS  16
000100101   10   10   14   12    9   10   11   21  9.058873 0.337354 SUCCESS  17
000100111    8   11   15   13   10   16   13    7  6.307685 0.612809 SUCCESS  18
000101001   19   15   12   13    8   18    7   13 11.341379 0.183096 SUCCESS  19
000101011   18   13    5   12   12   15   12   10  8.381006 0.397164 SUCCESS  20
000101101   14   19   11    7    6   11   16   12 11.209645 0.190101 SUCCESS  21
000101111   16   15    9   11   14   13   10   10  4.027164 0.854664 SUCCESS  22
000110011   11   14   14   15   11   13    8    7  5.290884 0.726082 SUCCESS  23
000110101    8    7   16   13   11   16   14   15  7.351627 0.499213 SUCCESS  24
000110111   11    7   14   10   12   14   14   12  3.648512 0.887363 SUCCESS  25
000111001   13    9   15   18   11   15   11   13  5.410040 0.712985 SUCCESS  26
000111011   15   12    9   10    8   10   11   18  6.816085 0.556600 SUCCESS  27
000111101    9   10   10    9   14   16   14    9  5.186291 0.737492 SUCCESS  28
000111111   13   16   12   15   14    9   10   19  7.431065 0.490916 SUCCESS  29
001000011   15   15   12    9   13   14   16   10  4.171476 0.841330 SUCCESS  30
001000101   20   16   10    7   10   14   13    9 10.688667 0.219971 SUCCESS  31
